Title,Chapter,Verse,English Translation
Arjuna's Vishada Yoga,Chapter 1,Verse 1.11,"Duryodhana instructed his army: Now all of you quickly assume your proper positions for battle, your main goal being to protect and fight alongside BHISMA, your leader, by all means."
Arjuna's Vishada Yoga,Chapter 1,Verse 1.12,"To bring joy to DURYODHANA?s heart, the great grandsire BHISMA, the oldest and most famous of the KAURAVAS, roared loudly like a lion (a battle-cry), and blew his conch to signal the army to advance towards the enemy."
Arjuna's Vishada Yoga,Chapter 1,Verse 1.13,"Tremendous noise followed. Conches, kettle-drums, tabors, and trumpets and cowhorns blared across the battlefield."
Arjuna's Vishada Yoga,Chapter 1,Verse 1.14,MADHAVA (Lord Krishna) and PANDAVA were seated in their magnificent chariote attached to white horses and they blew gracefully their divine conches.
Arjuna's Vishada Yoga,Chapter 1,Verse 1.15,The PANCHAJANYA (the name of one of the conches) was blown by HRISHIKESA (Lord Krishna). The conch named DEVADATTA was blown by DHANANJAYA (Arjuna).
Arjuna's Vishada Yoga,Chapter 1,Verse 1.16,The King YUDISHTHIRA. the son of KUNTI blew the great conch called ANANTAVIYAYA: NAKUL and SAHDEV blew SUGHOSHA and MANIPUSHPAKA (also names of conches).
Arjuna's Vishada Yoga,Chapter 1,Verse 1.17,"Several conches were also blown by: The ruler of KASI. the great warrior SIKHANDI, DHRSTHTADYUMNA, VIRATA, and SATYAKI, the invincible. DRUPADA and the sons of DRAUPADI, and the mighty armed son of SUBHADRA also blew their several conches."
Arjuna's Vishada Yoga,Chapter 1,Verse 1.18,"Drupada and the sons of Draupadi, O Lord of the Earth, and the son of Subhadra, the mighty armed, blew their respective conches."
Arjuna's Vishada Yoga,Chapter 1,Verse 1.19,The earth and sky was filled with the extremely loud and terrible noise of the PANDAVAS? bugles and voices which struck fear in the hearts of the KAURAVAS (the sons of Dhrtarashtra).
Arjuna's Vishada Yoga,Chapter 1,Verse 1.20,"Sanjaya said :Then, my king, seeing the KAURAVAS (the army of Dhrtarashtra), positioned and ready to begin fighting, ARJUNA, whose flag was that of HANUMAN, spoke the following words to SHRI KRISHNA, as he lifted his bow to fight the battle."
Arjuna's Vishada Yoga,Chapter 1,Verse 1.21,"Arjuna said: In the midst of the two armies, place my chariot, O Achyuta, that I may behold those who stand here desirous of fighting and, on the eve of this battle, let me know with whom I must fight."
Arjuna's Vishada Yoga,Chapter 1,Verse 1.22,"Place my chariot, O ACHYUTA (Lord Krishna) between the two armies so that I may see those who wish to fight for us and also to see who I have to fight against, in this war."
Arjuna's Vishada Yoga,Chapter 1,Verse 1.23,I desire to see all of those great warrior kings who have gathered here to fight alongside the evil-minded DURYODHANA (son of Dhrtarashtra).
Arjuna's Vishada Yoga,Chapter 1,Verse 1.24,"Sanjaya continued:After being requested by GUDAKESA (Arjun), HRISHIKESA (Lord Krishna), placed ARJUN?s magnificent chariot between the armies. The chariot was now facing BHISMA, the Guru DRONA, and all the rulers of the earth; then Lord KRISHNA spoke to ARJUNA: ?O, PARTHA (Arjuna), see yourself all of the KAURAVAS assembled here on the battlefield today.?"
Arjuna's Vishada Yoga,Chapter 1,Verse 1.25,"In front of Bhishma and Drona, and all the rulers of the earth, he said, O Partha, behold these Kurus gathered together."
Arjuna's Vishada Yoga,Chapter 1,Verse 1.26,"ARJUNA, gazed upon the army and then saw in both armies, paternal uncles, grandfathers, teachers, maternal uncles, cousins, sons, grandsons, friends, fathers-in-law, and well-wishers. The son of KUNTI (Arjuna), after viewing all of those relatives and friends posted in their positions on the battlefield, became melancholy and filled with compassion (love) for his relatives, and spoke in a sad voice:"
Arjuna's Vishada Yoga,Chapter 1,Verse 1.27,"(He saw) Fathers-in-law and friends also in both the armies. Then the son of Kunti, seeing all these kinsmen thus standing arrayed, spoke thus sorrowfully, filled with deep pity."
Arjuna's Vishada Yoga,Chapter 1,Verse 1.28,"Arjuna said:O KRISHNA, seeing my kinsmen (relatives) standing before me to fight against me in this war, I find myself unable to move my body, and my mouth has become parched. He continued: I have no longer any control over my body; my hair stands on end. I cannot control my bow GANDIVA, and my skin burns all over."
Arjuna's Vishada Yoga,Chapter 1,Verse 1.29,"My limbs fail and my mouth is parched, my body quivers and my hair stands on end."
Arjuna's Vishada Yoga,Chapter 1,Verse 1.30,"I can no longer stand; my knees are weak; my mind is clouded and spinning in many directions, and, dear KRISHNA, I am seeing bad signs."
Arjuna's Vishada Yoga,Chapter 1,Verse 1.31,"I cannot see any good in slaughtering and killing my friends and relatives in battle. O KRISHNA, I have no use nor desire for victory, empire or even materialistic pleasures."
Arjuna's Vishada Yoga,Chapter 1,Verse 1.32,"O GOVINDA, (Krishna), what in the use of a kindgom, enjoyment or even life?"
Arjuna's Vishada Yoga,Chapter 1,Verse 1.33,"Those whom we seek these pleasures from (the enjoyment of kingdom), are standing before us staking their lives and property, possessions which I have no desire for."
Arjuna's Vishada Yoga,Chapter 1,Verse 1.34,"O Lord KRISHNA, I do not want to kill my teachers, uncles, friends, fathers-in-law, grandsons, brothers-in-law, and other relatives and well-wishers."
Arjuna's Vishada Yoga,Chapter 1,Verse 1.35,Arjuna spoke to the Lord Madhusudhana (Lord Krishna): I could not slay (kill) my relatives even if I had to give my own life away. I could not slay them even for domination of the three worlds; how could I slay them for domination of this earth.
Arjuna's Vishada Yoga,Chapter 1,Verse 1.36,"O KRISHNA, why should we kill our own loved ones and kinsmen when no happiness or good can come out of so doing?"
Arjuna's Vishada Yoga,Chapter 1,Verse 1.37,"Greed has clouded the minds and overpowered the intelligence of the sons of DHRTARASHTRA and so they feel no guilt, and fail to see the sins they are commiting by betraying friends and destroying their families. Arjuna continued: Why should we not realize, O KRISHNA, the wrong-doings and sins that the sons of DHRTARASATRA cannot see and realize, and save ourselves from committing these sins?"
Arjuna's Vishada Yoga,Chapter 1,Verse 1.38,"Why should not we, who clearly see evil in the destruction of the family-units, learn to turn away from this sin, O Janardana?"
Arjuna's Vishada Yoga,Chapter 1,Verse 1.39,"Arjuna explained: When one begins to destroy his own family, then his ancient, respected traditions, customs, moral values, principles, are destroyed as well. By the destruction of these, the whole family becomes evil and huge sins are committed."
Arjuna's Vishada Yoga,Chapter 1,Verse 1.40,"O KRISHNA, with the growth of evil in a family, the family women, become impure and evil, and sinning with those of other castes would follow."
Arjuna's Vishada Yoga,Chapter 1,Verse 1.41,"By the mixture of castes, families will breed more family destroyers; being deprived of food and water, their ancestors will also fall from heaven."
Arjuna's Vishada Yoga,Chapter 1,Verse 1.42,"The everlasting traditions, customs and principles of a caste are destroyed when different castes join together and create mixed-blood generations. This leads to confusion of a caste?s customs."
Arjuna's Vishada Yoga,Chapter 1,Verse 1.43,"It has been heard, O JANARDHANA (Krishna) that hell is the permanent home for those men whose families? religious practices have been broken and destroyed."
Arjuna's Vishada Yoga,Chapter 1,Verse 1.44,"Moreover, it is a great shame, that knowing and understanding everything, we are still ready to commit such a great sin of killing our kinsmen, just because of greed for kingdom and pleasures."
Arjuna's Vishada Yoga,Chapter 1,Verse 1.45,"I think it would be better for me if the sons of DHRTARASHTRA slay me, with their weapons while I remain unarmed and unwilling to fight back"
Arjuna's Vishada Yoga,Chapter 1,Verse 1.46,"Sanjaya said:Having said this, ARJUNA, still extremely sad and confused sat on the seat of this chariot throwing away his bow and arrows."
Sankhya Yoga,Chapter 2,Verse 2.1,"Sanjay recounted:MADHUSUDANA (Lord Krishna) then spoke in his divine voice unto ARJUNA, who was terribly upset and overcome with grief and guilt at the thought of war he was about to enter into."
Sankhya Yoga,Chapter 2,Verse 2.2,"The Blessed Lord asked of Arjuna: Dear Arjuna, why have you been struck with fear, guilt and sorrow at this moment ?"
Sankhya Yoga,Chapter 2,Verse 2.3,"O Arjuna, be brave, be a bold, courageous man. Do not be a coward and a feeble person, it does not suit such a great warrior and killer of enemies as you !"
Sankhya Yoga,Chapter 2,Verse 2.4,"Arjuna asked the Lord:O Madhusudana (Lord Krishna), the killer of foes, tell me how I am to kill BHISMA and DRONA when they are both worthy of my worship ?"
Sankhya Yoga,Chapter 2,Verse 2.5,It is much better to live on a beggar?s earnings than to kill the great saints or Gurus. After killing them I will only enjoy material wealth and pleasure stained with their blood.
Sankhya Yoga,Chapter 2,Verse 2.6,"The sons of DHRTARASHTA stand here before us as our opponents and enemies. It is difficult to say which is better: whether they should destroy us or whether we should conquer the. If we choose to slay them, how can we possibly care to live on ?"
Sankhya Yoga,Chapter 2,Verse 2.7,"Please, Dear Lord, I am your disciple, kindly guide and instruct me, for I have taken refuge and shelter in you.I am confused as to my duties and what is good for me. I beg you to give me knowledge, wisdom and a clear, logical mind."
Sankhya Yoga,Chapter 2,Verse 2.8,"I cannot find any cure for the great great grief I suffer, O KRISHNA, even though by winning this war, I would achieve great power and rule over the earth and the heavens."
Sankhya Yoga,Chapter 2,Verse 2.9,"Sanjaya said:Dear Dhrtarashtra, my great king, after addressing HRISHIKESHA (Lord of the senses). GUDUKESHA (conqueror of sleep), and PARAMTAPAH (destroyer of all enemies), ARJUN spoke clearly to the great Lord KRISHNA in a determined and assured voice that he would not fight, and then became silent."
Sankhya Yoga,Chapter 2,Verse 2.10,"?O ARJUNA,? HRISHIKESA spoke smilingly, as ARJUNA stood between the two armies:"
Sankhya Yoga,Chapter 2,Verse 2.11,"ARJUNA, you show your grief and compassion for those who do not deserve your grief, compassion or sympathy. Although your words are filled with wisdom, you must remember, the wise men never grieve for the living or the dead.?"
Sankhya Yoga,Chapter 2,Verse 2.12,"ARJUNA?, always remember, there has never been a time when you or any of the great warriors present here, were not alive or non-existent, nor will we all, at any time, cease to exist and live on in the future."
Sankhya Yoga,Chapter 2,Verse 2.13,"Lord Krishna continued:Dear ARJUNA, the wise never get confused by the fact that the ATMA or Soul goes through the stages of childhood, youth and old age along with the body. When one body ceases to function, the soul passes on to another body. The cycle is then repeated once more."
Sankhya Yoga,Chapter 2,Verse 2.14,"The Blessed Lord continued: son of KUNTI (Arjuna), when the senses come in contact with their sensual objects, feelings of heat, cold, pain and pleasure. These feelings last only for a short time; they will come and go. Bear them patiently dear ARJUNA."
Sankhya Yoga,Chapter 2,Verse 2.15,"Only he who is not affected by these senses and sensual objects becomes immortal, for he is considered the best of men because he is well balanced in pain and pleasure."
Sankhya Yoga,Chapter 2,Verse 2.16,"The Blessed Lord stated:The unreal does not exist and the real always exists. Those with peaceful, pure and wise minds, know the truth about both the real and unreal."
Sankhya Yoga,Chapter 2,Verse 2.17,"He who is completely indestructible, present everywhere in the universe, and is imperishable, regard Him as God O ARJUNA."
Sankhya Yoga,Chapter 2,Verse 2.18,"The Blessed Lord explained: O ARJUNA, only the body can be destroyed; but the soul is indestructible, permanent and immortal. Therefore ARJUNA, pick up your weapons and fight!"
Sankhya Yoga,Chapter 2,Verse 2.19,"O ARJUNA, he who thinks of the Soul as a killer and he who thinks that Soul can be killed, is ignorant, because the Soul can never be killed nor can it kill anyone or anything."
Sankhya Yoga,Chapter 2,Verse 2.20,"The Blessed Lord said: Dear ARJUNA, the ATMAN or Soul can neither be born nor can it die. It is forever immortal, eternal and ancient. The Soul in a body does not die when the body itself perishes and ceases to exist. The Soul always lives on."
Sankhya Yoga,Chapter 2,Verse 2.21,"ARJUNA, he who knows the Soul to be eternal, indestructible, permanent unborn, and endless, that person can neither kill nor be killed."
Sankhya Yoga,Chapter 2,Verse 2.22,"The Blessed Lord said: Just as a person gets rid of old clothing and replaces the old clothing with new ones, similarly, the soul changes from one body to a new body when its body has become old worn out and has stopped functioning."
Sankhya Yoga,Chapter 2,Verse 2.23,"The Soul cannot be cut by weapons, burnt by fire, absorbed by air, nor can water wet the Soul."
Sankhya Yoga,Chapter 2,Verse 2.24,"The Soul is eternal, everlasting. It cannot be destroyed, broken or burnt; it cannot become wet nor become dried. The Soul is the most stable thing in the universe, it is immovable and present throughout the universe."
Sankhya Yoga,Chapter 2,Verse 2.25,"The Soul cannot be seen, With this mind, dear changed by any means. With this mind, dear ARJUNA, one should never grieve."
Sankhya Yoga,Chapter 2,Verse 2.26,"Even if you incorrectly believe. O ARJUNA, that the Soul is constantly taking birth and dying, you should still not become upset and filled with grief and sadness."
Sankhya Yoga,Chapter 2,Verse 2.27,"Dear ARJUNA, knowing the fact that anything that takes birth will eventually die, it seems pointless to grieve over someone?s death, especially if you knew that the death had to take place anyway."
Sankhya Yoga,Chapter 2,Verse 2.28,"ARJUNA, all beings are unseen before birth, are seen after birth and during their lives; again, however, all beings are unseen after death. So what cause is there to worry?"
Sankhya Yoga,Chapter 2,Verse 2.29,"Few look upon ?the Soul? with curiosity. Some talk and hear of ?the Soul? with curiosity and enchantment, but in the end, there is nobody who can really understand and comprehend ?the Soul.?"
Sankhya Yoga,Chapter 2,Verse 2.30,"ARJUNA, although the body can be slain, the Soul cannot. The Soul of a being lives on forever, therefor it is not necessary to grieve over anybody?s death because the most important part of them never dies at all, and that is, their Souls."
Sankhya Yoga,Chapter 2,Verse 2.31,"Looking upon your duty, ARJUNA, as a Kshatriya (warrior), you should never be afraid, but be courageous, because there is nothing better for a Kshatriya than to fight in a righteous war."
Sankhya Yoga,Chapter 2,Verse 2.32,"Dear ARJUNA, you should consider yourself a very lucky warrior to fight in a war where for the victor, the prize is entrance to the gates of heaven."
Sankhya Yoga,Chapter 2,Verse 2.33,"By not fighting this war, O ARJUNA, you are committing a sin because you fail to perform your duty as a warrior and you also will lose your honour."
Sankhya Yoga,Chapter 2,Verse 2.34,"People will talk and look upon you, O ARJUNA, with disrespect. There is only one thing worse than death itself, and that is, disrespect for a respectable man."
Sankhya Yoga,Chapter 2,Verse 2.35,"O ARJUNA, your high esteem and reputation will become ruined if you do not fight this battle. The mighty warriors will consider you lower than them and will believe that you did not fight the battle because you feared the opponent."
Sankhya Yoga,Chapter 2,Verse 2.36,"You will experience tremendous pain when your enemies laugh at your lack of strength and courage and say many shameful and humiliating things about you, O ARJUNA."
Sankhya Yoga,Chapter 2,Verse 2.37,"O ARJUNA, if you fight this battle, think of how it shall benefit you. If you die during battle, you will go to heaven and be in eternal peace. If you shall be victorious O ARJUNA, you will be the ruler of this Kingdom. O ARJUNA, stand up, take courage, and fight!"
Sankhya Yoga,Chapter 2,Verse 2.38,"The Blessed Lord spoke unto Arjuna: O ARJUNA, by considering victory and defeat, pleasure and pain, gain and loss with indifference, you will not commit any sin."
Sankhya Yoga,Chapter 2,Verse 2.39,"O ARJUNA, you already have been presented knowledge. Now you must put this knowledge to practical use O ARJUNA, with selfless KARMYOGA, O ARJUNA, by doing your duty and leaving the results of your actions to the Lord, you will break the bonds of KARMA."
Sankhya Yoga,Chapter 2,Verse 2.40,"When one practises Yoga, there is no fear of destruction; the person does not suffer a loss of honest effort in whatever he or she attempts. Even by practising a little bit of Yoga, one is protected from great fear ( of death or danger). Peace of mind is slowly obtained."
Sankhya Yoga,Chapter 2,Verse 2.41,"Those with a firm mind, O ARJUNA, are decisive about everything. Those whose minds are infirm are not decisive in their actions and their intellect wanders in many directions."
Sankhya Yoga,Chapter 2,Verse 2.42,"O ARJUNA, unwise people who think of nothing but material desires and pleasures, and who believe in the Vedas as well, think that heaven means the absolute end of oneself."
Sankhya Yoga,Chapter 2,Verse 2.43,"Full of desires, having heaven as their goal, they utter flowery words, which promise new birth as the reward of their actions, and prescribe various specific actions for the attainment of pleasure and Lordship."
Sankhya Yoga,Chapter 2,Verse 2.44,"For, those who cling to joy and Lordship, whose minds are drawn away by such teaching, are neither determinate and resolute nor are they fit for steady meditation and SAMADHI."
Sankhya Yoga,Chapter 2,Verse 2.45,"The Blessed Lord spoke: The Vedas deal mainly with the three Gunas (qualities and nature). One of these is known as the material portion of life in the world. You must overcome all of these Gunas, O ARJUNA. Get rid of all you doubts. Free yourself of all frustrations and grief and devote mind and soul to God. This is true peace and happiness."
Sankhya Yoga,Chapter 2,Verse 2.46,"O ARJUNA, to an enlightened soul, the Vedas are only as useful as a tank of water during a flood."
Sankhya Yoga,Chapter 2,Verse 2.47,"O ARJUNA, always remember what I am about to say to you for it is the law of KARMA, a law that one should always obey in life should he/she ever feel resentment, frustration, anxiety, or grief:You have the right only to perform your actions, duties and responsibilities in life; however, the results of these actions should not concern you at all. You should not even desire results for your actions because the results are simply not in your hands, but in the hands of the Lord. Neither should you lean towards inaction. (This is the most important shloka describing Karmyoga.)"
Sankhya Yoga,Chapter 2,Verse 2.48,"The Divine Lord said: O ARJUNA, perform all your actions with an even mind. In other words, do not feel overjoyed at the successes in your life and do not allow yourself to feel overcome with grief because of any failures you may encounter on life. Rid yourself of any attachments to material things and always remember that the results of your actions is in the Lord?s hands. If you react the same way, regardless of the result of your actions, you are performing what is known as KARMYOGA."
Sankhya Yoga,Chapter 2,Verse 2.49,"The Blessed Lord said unto ARJUNA:When actions are performed by a person for any selfish motive or gain, that person shall always suffer and remain disappointed in life. Those, however, who practice KARMYOGA or the Yoga of even-mindedness, are free from any worries or disappointments for they do not care for the results of their actions and duties."
Sankhya Yoga,Chapter 2,Verse 2.50,"That person who devotes himself to a life of KARMYOGA with no selfish motives in mind does not become hungry for power, nor does he become attached to any of the bad and disgusting things in life. Therefore, O ARJUNA, always strive to achieve selfless KARMYOGA, for this is the path of perfection in life."
Sankhya Yoga,Chapter 2,Verse 2.51,"Those individuals who have devoted their lives to the practice of KARMYOGA, they not only free themselves of the worries that accompany anticipation of results after performing certain actions, but also free themselves of all sins and achieve the supreme state of everlasting peace and happiness."
Sankhya Yoga,Chapter 2,Verse 2.52,"When you finally reach the state where your mind is free from all attachments and pleasures in life, your intellect will clear and will give you the ability to think logically, and wisely, whenever you need to."
Sankhya Yoga,Chapter 2,Verse 2.53,"Your intellect, O ARJUNA, will then allow you to distinguish between the real and the unreal in life. You will no longer have conflicts about opinions of life?s many aspects and characteristics. You will know what is of importance and of no importance. Finally, you will reach the state where you will have achieved KARMYOGA, a state of long-lasting peace and happiness."
Sankhya Yoga,Chapter 2,Verse 2.54,"Arjuna asked the Lord:Dear KESHAVA (Krishna), what are the characteristics of a man who is very wise, has a firm intellect and is placed or engrossed in a superconscious state? How does this type of person speak, sit and walk?"
Sankhya Yoga,Chapter 2,Verse 2.55,"The Divine Lord Krishna replied: O ARJUNA, one is said to have steady wisdom if he completely frees himself from desires of the mind and heart and is realistically satisfied within himself, no more having the longing for material pleasures."
Sankhya Yoga,Chapter 2,Verse 2.56,"He whose mind is unaffected by misery or pleasure and is free from all bonds and attachments, fear and anger, is man, of steady wisdom and decisive intellect."
Sankhya Yoga,Chapter 2,Verse 2.57,"A man has a decisive intellect, who is no longer attached to anything, shoeing pleasure if something pleasan happens and displeasure if something unpleasant occurs.|"
Sankhya Yoga,Chapter 2,Verse 2.58,"Just as a tortoise withdraws or retreats its limbs into its shell, a person with a firm mind and decisive intellect can withdraw his senses from sensual objects."
Sankhya Yoga,Chapter 2,Verse 2.59,"One who does not use his senses for the enjoyment of sensual objects can overcome and rise above sensual objects. However, he is not able to leave off the attachment to his senses. One who realizes God or the Supreme, gers rid of attachments to the senses as well."
Sankhya Yoga,Chapter 2,Verse 2.60,The Blessed Lord said: Even those who are wise and are striving to achieve spiritual happiness and freedom are carried away violently or with great force by their excited senses.
Sankhya Yoga,Chapter 2,Verse 2.61,"The yogis or My divine devotees have gained or achieved self control; they have complete control of their senses and therefore they have also earned the power of constant wisdom. Their minds are constantly focussed and concentrated on ME, the Supreme Goal."
Sankhya Yoga,Chapter 2,Verse 2.62,"Those who always think about sensual objects get attached to those objects. Attachment arouses desires and when one does not get what one desires, irritation is aroused, and from irritation stems anger and frustration."
Sankhya Yoga,Chapter 2,Verse 2.63,"The Blessed Lord spoke: From anger, stems delusion (false beliefs or assumptions); delusion causes loss of one?s confused mind; the confused mind makes a person lose his/her ability to reason and lose their power to solve his/her problems. When one loses his/her power to reason, the person will suffer ultimate death and destruction."
Sankhya Yoga,Chapter 2,Verse 2.64,"But the disciplined wise man who has control over his senses and is free from attraction and emotional distractions, gains peace and purity of the self."
Sankhya Yoga,Chapter 2,Verse 2.65,"Purity of self gets rid of all miseries and grief. A person with internal purity soon develops steady wisdom and a clear, unclouded intelligence."
Sankhya Yoga,Chapter 2,Verse 2.66,"One who cannot control his senses is one who is lacking in steady wisdom and intelligence, and also lacks proper feelings or sentiments (thoughts). A person who cannot think properly and make decisions with a clear mind, cannot have peace of mind, and without peace of mind there can be no happiness."
Sankhya Yoga,Chapter 2,Verse 2.67,"The mind of those who run after or pursue material pleasures and sensual objects, is often clouded and let on the wrong path, just as the wind blows away the ship on the waters."
Sankhya Yoga,Chapter 2,Verse 2.68,"O ARJUNA, therefore with senses under control, protected from sensual objects, not only does one have the ability to reason things out properly, but also gains peace of mind leading to eternal bliss and happiness."
Sankhya Yoga,Chapter 2,Verse 2.69,"When it is night for all others, the wise man is always awake. When others are aware and deceived (deluded) by sensual objects, the wise man who knows the truth and has realized God, shuts his eyes to daylight and the misleading material objects that attract people, and considers it night. He is not easily deceived."
Sankhya Yoga,Chapter 2,Verse 2.70,"As the river enters the ocean without affecting the ocean or disturbing it, so the desires enter the person who has obtained Supreme peace, but not the person who is already filled with desires and wants more and more."
Sankhya Yoga,Chapter 2,Verse 2.71,"The Blessed Lord said: By giving up all desires, freeing oneself of all attachments and without constantly thinking of oneself or of one?s possessions, only then, one may live in realistic peace."
Sankhya Yoga,Chapter 2,Verse 2.72,"The Blessed Lord spoke: O ARJUNA, this is the state of a person who has truly realized God. After obtaining Supreme Bliss by realizing God, this person cannot be deceived by any of life?s evils. Until the time of death one remains firm in this state and ultimately achieves Supremr Peace and tranquility."
Karma Yoga,Chapter 3,Verse 3.1,"Arjuna asked the Good Lord: O Lord KRISHNA, if you claim that Gyan or Knowledge is better than one?s Karma or responsibility, the why do you ask me to fight this battle?"
Karma Yoga,Chapter 3,Verse 3.2,"I am confused dear Lord, by the advice you have given to me. You have told me to take two opposite and different courses of action at once. Please, O KRISHNA, tell me of just one wise solution and course of action that would lead out of this problem safely."
Karma Yoga,Chapter 3,Verse 3.3,"The Blessed Lord replied: O Arjuna, always remember in life that there are only two definite paths of action as I have described before. One of these is known as Sankhyayoga or the path of knowledge, and the other is Karmayoga, or the path of performing duty and action without expecting any result."
Karma Yoga,Chapter 3,Verse 3.4,"O Arjuna, it is not only important to understand the meanings of Sankhyayoga and Karmayoga, but it is also important to understand the aims or goals behind each of these courses of action.The aim of Karmayoga is to achieve freedom from action. One cannot achieve the goal by total inaction or by not performing any action at all. The goal of Sankhyayoga is the realization of God. When one has fully realized God, he has reached a state of perfection. Once simply cannot attain this state of perfection by giving up or retreating from the performance of one?s actions."
Karma Yoga,Chapter 3,Verse 3.5,Lord Krishna continued:There is nobody who is living that does not perform an action of some sort even for a moment. Everyone is forced to perform actions by natural tendencies (human nature).
Karma Yoga,Chapter 3,Verse 3.6,"O Arjuna, those who have learned to control the organs of action, yet still think in their minds of the pleasures that they can get from those organs, are fooling only themselves by pretending to have certain qualities that do not really exist within them."
Karma Yoga,Chapter 3,Verse 3.7,"The Blessed Lord spoke: O Arjuna, one who has fully learned to control his senses with his mind and practises selfless Karmayoga keeping his senses controlled and not allowing them to interfere and disrupt his action, is truly a great person."
Karma Yoga,Chapter 3,Verse 3.8,"Perform the actions that you have been obliged to perform, or that have been prescribed for you. Action is always better than inaction, If one is inactive, he cannot live, simply because he is not performing the action of maintaining his body."
Karma Yoga,Chapter 3,Verse 3.9,"The Lord continued: O Arjuna, all the actions that a person performs in this world, except of course those associated with sacrifice or Yagya, tie that person to the world. Therefore, O Arjuna to break free from this link, perform all your actions well without being attached to them."
Karma Yoga,Chapter 3,Verse 3.10,"Brahma has created the universe with the spirit of sacrifice. Brahma, the Creator, said unto mankind, ?You shall grow and prosper. Yagya (sacrifice) will bring you all that you wish.?"
Karma Yoga,Chapter 3,Verse 3.11,"The Lord said unto Arjuna: The Gods or Deities grow with Yagya or sacrifice. When the Deities grow, they will help you to grow. Thus, both Deity and mankind grow continually. they will both achieve their supreme goal."
Karma Yoga,Chapter 3,Verse 3.12,"Through the spirit of sacrifice of Yagya, the Deities grow and progress. As they grow, they will provide you with all the pleasures you desire. You should offer part of these pleasures to the Deities.If one is granted pleasures by another person, the one who receives the pleasures should share some of those pleasures with the provider of those pleasures, or else he is as bad as a thief."
Karma Yoga,Chapter 3,Verse 3.13,"The Blessed Lord Krishna said:People who eat food after offering it for sacrifice are considered pious, pure, and are freed from all sins. People who prepare food only for themselves commit sins and are impure."
Karma Yoga,Chapter 3,Verse 3.14,"Food allows people to live. Food is produced from rain. Rain arises from sacrifice. Actions produce sacrifice or Yagna. God produces knowledge. Knowledge produces actions. Actions produce sacrifice or Yagya. Where there is sacrifice, the omnipresent God is there also."
Karma Yoga,Chapter 3,Verse 3.15,"Food allows people to live. Food is produced from rain. Rain arises from sacrifice. Actions produce sacrifice or Yagna.God produces knowledge. Knowledge produces actions. Actions produce sacrifice or Yagya.Where there is sacrifice, the omnipresent God is there also."
Karma Yoga,Chapter 3,Verse 3.16,"The Blessed Lord said: O Arjuna, he who does not follow the proper course of creation such as that I have just described, but centres his life around the enjoyment of luxuries, this sinful person, in my eyes, leads a useless life. He shall never fully understand and realize me."
Karma Yoga,Chapter 3,Verse 3.17,"He, O Arjuna, who is satisfied and content in himself, and he who is absorbed in himself, actions and duties do not exist (for him)."
Karma Yoga,Chapter 3,Verse 3.18,"This type of person has no use for actions (duties performed for the attainment of a certain goal), or inactions (duties performed without the expectation of any results).This type of person has reached a very high stage in the attainment of peace and detachment from all beings and things. He no longer selfishly depends on anybody or anything."
Karma Yoga,Chapter 3,Verse 3.19,"Therefore, Arjuna always perform your given duties without feelings of attachment towards any being or anything. A person doing unattached actions, or in other words, ?inction? attains the Lord, the key to perfection."
