,Title,Chapter,Verse,English Translation,a1,a2,a3,a4,a5
11,Arjuna's Vishada Yoga,1,12,"To bring joy to DURYODHANA?s heart, the great grandsire BHISMA, the oldest and most famous of the KAURAVAS, roared loudly like a lion (a battle-cry), and blew his conch to signal the army to advance towards the enemy.",0.0,903.77875,1298.9169,728.57996,0.0
12,Arjuna's Vishada Yoga,1,13,"Tremendous noise followed. Conches, kettle-drums, tabors, and trumpets and cowhorns blared across the battlefield.",0.0,798.3448,813.22815,1218.7246,0.0
13,Arjuna's Vishada Yoga,1,14,MADHAVA (Lord Krishna) and PANDAVA were seated in their magnificent chariote attached to white horses and they blew gracefully their divine conches.,0.0,702.76447,708.02075,1161.2452,0.0
14,Arjuna's Vishada Yoga,1,15,The PANCHAJANYA (the name of one of the conches) was blown by HRISHIKESA (Lord Krishna). The conch named DEVADATTA was blown by DHANANJAYA (Arjuna).,0.0,630.3279,375.7217,3163.6978,0.0
15,Arjuna's Vishada Yoga,1,16,The King YUDISHTHIRA. the son of KUNTI blew the great conch called ANANTAVIYAYA: NAKUL and SAHDEV blew SUGHOSHA and MANIPUSHPAKA (also names of conches).,0.0,633.8336,578.24927,1978.8424,0.0
16,Arjuna's Vishada Yoga,1,17,"Several conches were also blown by: The ruler of KASI. the great warrior SIKHANDI, DHRSTHTADYUMNA, VIRATA, and SATYAKI, the invincible. DRUPADA and the sons of DRAUPADI, and the mighty armed son of SUBHADRA also blew their several conches.",0.0,1208.1322,1212.4073,1827.7651,0.0
17,Arjuna's Vishada Yoga,1,18,"Drupada and the sons of Draupadi, O Lord of the Earth, and the son of Subhadra, the mighty armed, blew their respective conches.",0.0,1367.3474,1364.954,2181.8618,0.0
18,Arjuna's Vishada Yoga,1,19,The earth and sky was filled with the extremely loud and terrible noise of the PANDAVAS? bugles and voices which struck fear in the hearts of the KAURAVAS (the sons of Dhrtarashtra).,0.0,1190.6824,1148.9272,2184.068,0.0
19,Arjuna's Vishada Yoga,1,20,"Sanjaya said :Then, my king, seeing the KAURAVAS (the army of Dhrtarashtra), positioned and ready to begin fighting, ARJUNA, whose flag was that of HANUMAN, spoke the following words to SHRI KRISHNA, as he lifted his bow to fight the battle.",0.0,815.0987,1179.0654,618.38116,0.0
20,Arjuna's Vishada Yoga,1,21,"Arjuna said: In the midst of the two armies, place my chariot, O Achyuta, that I may behold those who stand here desirous of fighting and, on the eve of this battle, let me know with whom I must fight.",1335.617,1114.334,772.85706,0.0,0.0
21,Arjuna's Vishada Yoga,1,22,"Place my chariot, O ACHYUTA (Lord Krishna) between the two armies so that I may see those who wish to fight for us and also to see who I have to fight against, in this war.",1805.9984,1508.8875,937.61957,0.0,0.0
22,Arjuna's Vishada Yoga,1,23,I desire to see all of those great warrior kings who have gathered here to fight alongside the evil-minded DURYODHANA (son of Dhrtarashtra).,1014.42737,825.52094,645.6298,0.0,0.0
23,Arjuna's Vishada Yoga,1,24,"Sanjaya continued:After being requested by GUDAKESA (Arjun), HRISHIKESA (Lord Krishna), placed ARJUN?s magnificent chariot between the armies. The chariot was now facing BHISMA, the Guru DRONA, and all the rulers of the earth; then Lord KRISHNA spoke to ARJUNA: ?O, PARTHA (Arjuna), see yourself all of the KAURAVAS assembled here on the battlefield today.?",0.0,535.59357,484.73337,1593.6704,0.0
24,Arjuna's Vishada Yoga,1,25,"In front of Bhishma and Drona, and all the rulers of the earth, he said, O Partha, behold these Kurus gathered together.",0.0,1270.5541,1444.8837,1550.2178,0.0
25,Arjuna's Vishada Yoga,1,26,"ARJUNA, gazed upon the army and then saw in both armies, paternal uncles, grandfathers, teachers, maternal uncles, cousins, sons, grandsons, friends, fathers-in-law, and well-wishers. The son of KUNTI (Arjuna), after viewing all of those relatives and friends posted in their positions on the battlefield, became melancholy and filled with compassion (love) for his relatives, and spoke in a sad voice:",0.0,986.5585,941.94696,1970.964,0.0
26,Arjuna's Vishada Yoga,1,27,"(He saw) Fathers-in-law and friends also in both the armies. Then the son of Kunti, seeing all these kinsmen thus standing arrayed, spoke thus sorrowfully, filled with deep pity.",0.0,968.48584,971.24384,1460.7263,0.0
27,Arjuna's Vishada Yoga,1,28,"Arjuna said:O KRISHNA, seeing my kinsmen (relatives) standing before me to fight against me in this war, I find myself unable to move my body, and my mouth has become parched. He continued: I have no longer any control over my body; my hair stands on end. I cannot control my bow GANDIVA, and my skin burns all over.",1845.266,1550.0398,892.72955,0.0,0.0
28,Arjuna's Vishada Yoga,1,29,"My limbs fail and my mouth is parched, my body quivers and my hair stands on end.",1512.0299,1276.0631,709.9648,0.0,0.0
29,Arjuna's Vishada Yoga,1,30,"I can no longer stand; my knees are weak; my mind is clouded and spinning in many directions, and, dear KRISHNA, I am seeing bad signs.",1861.354,1560.9457,861.7362,0.0,0.0
30,Arjuna's Vishada Yoga,1,31,"I cannot see any good in slaughtering and killing my friends and relatives in battle. O KRISHNA, I have no use nor desire for victory, empire or even materialistic pleasures.",1938.5872,1621.1093,977.29065,0.0,0.0
31,Arjuna's Vishada Yoga,1,32,"O GOVINDA, (Krishna), what in the use of a kindgom, enjoyment or even life?",0.0,570.95654,567.4669,1615.8173,0.0
32,Arjuna's Vishada Yoga,1,33,"Those whom we seek these pleasures from (the enjoyment of kingdom), are standing before us staking their lives and property, possessions which I have no desire for.",1253.0437,1044.314,700.38947,0.0,0.0
33,Arjuna's Vishada Yoga,1,34,"O Lord KRISHNA, I do not want to kill my teachers, uncles, friends, fathers-in-law, grandsons, brothers-in-law, and other relatives and well-wishers.",961.2195,783.1869,585.08636,0.0,0.0
34,Arjuna's Vishada Yoga,1,35,Arjuna spoke to the Lord Madhusudhana (Lord Krishna): I could not slay (kill) my relatives even if I had to give my own life away. I could not slay them even for domination of the three worlds; how could I slay them for domination of this earth.,1591.2764,1332.1057,781.23987,0.0,0.0
35,Arjuna's Vishada Yoga,1,36,"O KRISHNA, why should we kill our own loved ones and kinsmen when no happiness or good can come out of so doing?",2319.8406,1941.0663,1154.223,0.0,0.0
36,Arjuna's Vishada Yoga,1,37,"Greed has clouded the minds and overpowered the intelligence of the sons of DHRTARASHTRA and so they feel no guilt, and fail to see the sins they are commiting by betraying friends and destroying their families. Arjuna continued: Why should we not realize, O KRISHNA, the wrong-doings and sins that the sons of DHRTARASATRA cannot see and realize, and save ourselves from committing these sins?",1367.2167,1138.2399,801.22986,0.0,0.0
37,Arjuna's Vishada Yoga,1,38,"Why should not we, who clearly see evil in the destruction of the family-units, learn to turn away from this sin, O Janardana?",1604.1395,1338.6329,887.5241,0.0,0.0
38,Arjuna's Vishada Yoga,1,39,"Arjuna explained: When one begins to destroy his own family, then his ancient, respected traditions, customs, moral values, principles, are destroyed as well. By the destruction of these, the whole family becomes evil and huge sins are committed.",184.31848,773.2393,1208.294,134.93315,0.0
39,Arjuna's Vishada Yoga,1,40,"O KRISHNA, with the growth of evil in a family, the family women, become impure and evil, and sinning with those of other castes would follow.",0.0,1221.015,1538.0883,1311.8228,0.0
40,Arjuna's Vishada Yoga,1,41,"By the mixture of castes, families will breed more family destroyers; being deprived of food and water, their ancestors will also fall from heaven.",0.0,1016.546,1441.1543,802.53253,0.0
41,Arjuna's Vishada Yoga,1,42,"The everlasting traditions, customs and principles of a caste are destroyed when different castes join together and create mixed-blood generations. This leads to confusion of a caste?s customs.",0.0,999.29034,1451.9984,770.6866,0.0
42,Arjuna's Vishada Yoga,1,43,"It has been heard, O JANARDHANA (Krishna) that hell is the permanent home for those men whose families? religious practices have been broken and destroyed.",293.24072,360.4497,531.23096,0.0,0.0
43,Arjuna's Vishada Yoga,1,44,"Moreover, it is a great shame, that knowing and understanding everything, we are still ready to commit such a great sin of killing our kinsmen, just because of greed for kingdom and pleasures.",1775.5953,1477.4583,1024.8528,0.0,0.0
44,Arjuna's Vishada Yoga,1,45,"I think it would be better for me if the sons of DHRTARASHTRA slay me, with their weapons while I remain unarmed and unwilling to fight back",2653.2834,2220.467,1334.7059,0.0,0.0
45,Arjuna's Vishada Yoga,1,46,"Sanjaya said:Having said this, ARJUNA, still extremely sad and confused sat on the seat of this chariot throwing away his bow and arrows.",367.3578,593.01245,776.6327,0.0,0.0
46,Sankhya Yoga,2,1,"Sanjay recounted:MADHUSUDANA (Lord Krishna) then spoke in his divine voice unto ARJUNA, who was terribly upset and overcome with grief and guilt at the thought of war he was about to enter into.",0.0,802.6991,945.54944,917.41077,0.0
47,Sankhya Yoga,2,2,"The Blessed Lord asked of Arjuna: Dear Arjuna, why have you been struck with fear, guilt and sorrow at this moment ?",905.66187,756.3919,498.95062,0.0,0.0
48,Sankhya Yoga,2,3,"O Arjuna, be brave, be a bold, courageous man. Do not be a coward and a feeble person, it does not suit such a great warrior and killer of enemies as you !",1810.0013,1509.9268,971.87885,0.0,0.0
49,Sankhya Yoga,2,4,"Arjuna asked the Lord:O Madhusudana (Lord Krishna), the killer of foes, tell me how I am to kill BHISMA and DRONA when they are both worthy of my worship ?",1205.8036,1010.0686,567.97577,0.0,0.0
50,Sankhya Yoga,2,5,It is much better to live on a beggar?s earnings than to kill the great saints or Gurus. After killing them I will only enjoy material wealth and pleasure stained with their blood.,1873.0702,1564.9872,1016.9842,0.0,0.0
51,Sankhya Yoga,2,6,"The sons of DHRTARASHTA stand here before us as our opponents and enemies. It is difficult to say which is better: whether they should destroy us or whether we should conquer the. If we choose to slay them, how can we possibly care to live on ?",2503.5623,2089.7244,1307.8676,0.0,0.0
52,Sankhya Yoga,2,7,"Please, Dear Lord, I am your disciple, kindly guide and instruct me, for I have taken refuge and shelter in you.I am confused as to my duties and what is good for me. I beg you to give me knowledge, wisdom and a clear, logical mind.",2320.2512,1943.5165,1087.6091,0.0,0.0
53,Sankhya Yoga,2,8,"I cannot find any cure for the great great grief I suffer, O KRISHNA, even though by winning this war, I would achieve great power and rule over the earth and the heavens.",1893.7958,1585.2773,970.0853,0.0,0.0
54,Sankhya Yoga,2,9,"Sanjaya said:Dear Dhrtarashtra, my great king, after addressing HRISHIKESHA (Lord of the senses). GUDUKESHA (conqueror of sleep), and PARAMTAPAH (destroyer of all enemies), ARJUN spoke clearly to the great Lord KRISHNA in a determined and assured voice that he would not fight, and then became silent.",0.0,627.5449,602.29504,1500.009,0.0
55,Sankhya Yoga,2,10,"?O ARJUNA,? HRISHIKESA spoke smilingly, as ARJUNA stood between the two armies:",0.0,354.88007,403.93484,718.48553,0.0
56,Sankhya Yoga,2,11,"ARJUNA, you show your grief and compassion for those who do not deserve your grief, compassion or sympathy. Although your words are filled with wisdom, you must remember, the wise men never grieve for the living or the dead.?",1809.4098,1512.7339,909.40424,0.0,0.0
57,Sankhya Yoga,2,12,"ARJUNA?, always remember, there has never been a time when you or any of the great warriors present here, were not alive or non-existent, nor will we all, at any time, cease to exist and live on in the future.",1831.9585,1531.071,1012.87286,0.0,0.0
58,Sankhya Yoga,2,13,"Lord Krishna continued:Dear ARJUNA, the wise never get confused by the fact that the ATMA or Soul goes through the stages of childhood, youth and old age along with the body. When one body ceases to function, the soul passes on to another body. The cycle is then repeated once more.",745.07635,773.84106,914.27045,0.0,0.0
59,Sankhya Yoga,2,14,"The Blessed Lord continued: son of KUNTI (Arjuna), when the senses come in contact with their sensual objects, feelings of heat, cold, pain and pleasure. These feelings last only for a short time; they will come and go. Bear them patiently dear ARJUNA.",0.0,609.6613,857.54785,526.88885,0.0
60,Sankhya Yoga,2,15,"Only he who is not affected by these senses and sensual objects becomes immortal, for he is considered the best of men because he is well balanced in pain and pleasure.",1456.4552,1201.6736,930.14026,0.0,0.0
61,Sankhya Yoga,2,16,"The Blessed Lord stated:The unreal does not exist and the real always exists. Those with peaceful, pure and wise minds, know the truth about both the real and unreal.",818.89667,662.73193,675.19165,0.0,0.0
62,Sankhya Yoga,2,17,"He who is completely indestructible, present everywhere in the universe, and is imperishable, regard Him as God O ARJUNA.",351.22296,703.87866,1052.5718,0.0,0.0
63,Sankhya Yoga,2,18,"The Blessed Lord explained: O ARJUNA, only the body can be destroyed; but the soul is indestructible, permanent and immortal. Therefore ARJUNA, pick up your weapons and fight!",893.0903,730.0536,570.516,0.0,0.0
64,Sankhya Yoga,2,19,"O ARJUNA, he who thinks of the Soul as a killer and he who thinks that Soul can be killed, is ignorant, because the Soul can never be killed nor can it kill anyone or anything.",1845.1787,1538.6354,988.2443,0.0,0.0
65,Sankhya Yoga,2,20,"The Blessed Lord said: Dear ARJUNA, the ATMAN or Soul can neither be born nor can it die. It is forever immortal, eternal and ancient. The Soul in a body does not die when the body itself perishes and ceases to exist. The Soul always lives on.",1095.2184,905.987,653.6977,0.0,0.0
66,Sankhya Yoga,2,21,"ARJUNA, he who knows the Soul to be eternal, indestructible, permanent unborn, and endless, that person can neither kill nor be killed.",1803.5343,1503.2761,972.7039,0.0,0.0
67,Sankhya Yoga,2,22,"The Blessed Lord said: Just as a person gets rid of old clothing and replaces the old clothing with new ones, similarly, the soul changes from one body to a new body when its body has become old worn out and has stopped functioning.",494.65802,772.0046,1038.3278,0.0,0.0
68,Sankhya Yoga,2,23,"The Soul cannot be cut by weapons, burnt by fire, absorbed by air, nor can water wet the Soul.",0.0,737.9638,1108.1637,353.01672,0.0
69,Sankhya Yoga,2,24,"The Soul is eternal, everlasting. It cannot be destroyed, broken or burnt; it cannot become wet nor become dried. The Soul is the most stable thing in the universe, it is immovable and present throughout the universe.",1378.1389,1141.2194,822.5735,0.0,0.0
70,Sankhya Yoga,2,25,"The Soul cannot be seen, With this mind, dear changed by any means. With this mind, dear ARJUNA, one should never grieve.",1503.2072,1255.716,774.5958,0.0,0.0
71,Sankhya Yoga,2,26,"Even if you incorrectly believe. O ARJUNA, that the Soul is constantly taking birth and dying, you should still not become upset and filled with grief and sadness.",1574.2192,1314.5239,796.3145,0.0,0.0
72,Sankhya Yoga,2,27,"Dear ARJUNA, knowing the fact that anything that takes birth will eventually die, it seems pointless to grieve over someone?s death, especially if you knew that the death had to take place anyway.",2091.0205,1746.2429,1090.1221,0.0,0.0
73,Sankhya Yoga,2,28,"ARJUNA, all beings are unseen before birth, are seen after birth and during their lives; again, however, all beings are unseen after death. So what cause is there to worry?",1582.735,1322.1445,840.96704,0.0,0.0
74,Sankhya Yoga,2,29,"Few look upon ?the Soul? with curiosity. Some talk and hear of ?the Soul? with curiosity and enchantment, but in the end, there is nobody who can really understand and comprehend ?the Soul.?",1344.9658,1124.0594,729.5108,0.0,0.0
75,Sankhya Yoga,2,30,"ARJUNA, although the body can be slain, the Soul cannot. The Soul of a being lives on forever, therefor it is not necessary to grieve over anybody?s death because the most important part of them never dies at all, and that is, their Souls.",1476.0906,1214.8822,935.8496,0.0,0.0
76,Sankhya Yoga,2,31,"Looking upon your duty, ARJUNA, as a Kshatriya (warrior), you should never be afraid, but be courageous, because there is nothing better for a Kshatriya than to fight in a righteous war.",1383.9114,1151.756,788.6826,0.0,0.0
77,Sankhya Yoga,2,32,"Dear ARJUNA, you should consider yourself a very lucky warrior to fight in a war where for the victor, the prize is entrance to the gates of heaven.",1502.025,1219.7518,1026.6477,0.0,0.0
78,Sankhya Yoga,2,33,"By not fighting this war, O ARJUNA, you are committing a sin because you fail to perform your duty as a warrior and you also will lose your honour.",1847.5399,1543.1133,952.68555,0.0,0.0
79,Sankhya Yoga,2,34,"People will talk and look upon you, O ARJUNA, with disrespect. There is only one thing worse than death itself, and that is, disrespect for a respectable man.",1407.4775,1174.3107,760.7503,0.0,0.0
80,Sankhya Yoga,2,35,"O ARJUNA, your high esteem and reputation will become ruined if you do not fight this battle. The mighty warriors will consider you lower than them and will believe that you did not fight the battle because you feared the opponent.",2074.6646,1734.8176,1050.0895,0.0,0.0
81,Sankhya Yoga,2,36,"You will experience tremendous pain when your enemies laugh at your lack of strength and courage and say many shameful and humiliating things about you, O ARJUNA.",1607.5664,1344.6206,838.4733,0.0,0.0
82,Sankhya Yoga,2,37,"O ARJUNA, if you fight this battle, think of how it shall benefit you. If you die during battle, you will go to heaven and be in eternal peace. If you shall be victorious O ARJUNA, you will be the ruler of this Kingdom. O ARJUNA, stand up, take courage, and fight!",2249.5002,1880.0869,1145.7174,0.0,0.0
83,Sankhya Yoga,2,38,"The Blessed Lord spoke unto Arjuna: O ARJUNA, by considering victory and defeat, pleasure and pain, gain and loss with indifference, you will not commit any sin.",183.27583,427.75204,697.9147,18.357815,0.0
84,Sankhya Yoga,2,39,"O ARJUNA, you already have been presented knowledge. Now you must put this knowledge to practical use O ARJUNA, with selfless KARMYOGA, O ARJUNA, by doing your duty and leaving the results of your actions to the Lord, you will break the bonds of KARMA.",1322.8529,1099.9834,764.0974,0.0,0.0
85,Sankhya Yoga,2,40,"When one practises Yoga, there is no fear of destruction; the person does not suffer a loss of honest effort in whatever he or she attempts. Even by practising a little bit of Yoga, one is protected from great fear ( of death or danger). Peace of mind is slowly obtained.",14.419759,704.60583,1130.648,275.8284,0.0
86,Sankhya Yoga,2,41,"Those with a firm mind, O ARJUNA, are decisive about everything. Those whose minds are infirm are not decisive in their actions and their intellect wanders in many directions.",1299.2235,1057.6725,857.35956,0.0,0.0
87,Sankhya Yoga,2,42,"O ARJUNA, unwise people who think of nothing but material desires and pleasures, and who believe in the Vedas as well, think that heaven means the absolute end of oneself.",895.5025,857.96484,988.81226,0.0,0.0
88,Sankhya Yoga,2,43,"Full of desires, having heaven as their goal, they utter flowery words, which promise new birth as the reward of their actions, and prescribe various specific actions for the attainment of pleasure and Lordship.",0.0,1239.1859,1611.8799,1281.3162,0.0
89,Sankhya Yoga,2,44,"For, those who cling to joy and Lordship, whose minds are drawn away by such teaching, are neither determinate and resolute nor are they fit for steady meditation and SAMADHI.",1305.2915,1074.5342,818.5709,0.0,0.0
90,Sankhya Yoga,2,45,"The Blessed Lord spoke: The Vedas deal mainly with the three Gunas (qualities and nature). One of these is known as the material portion of life in the world. You must overcome all of these Gunas, O ARJUNA. Get rid of all you doubts. Free yourself of all frustrations and grief and devote mind and soul to God. This is true peace and happiness.",0.0,835.59973,1151.0103,770.4538,0.0
91,Sankhya Yoga,2,46,"O ARJUNA, to an enlightened soul, the Vedas are only as useful as a tank of water during a flood.",0.0,1231.8064,1723.377,1142.8058,0.0
92,Sankhya Yoga,2,47,"O ARJUNA, always remember what I am about to say to you for it is the law of KARMA, a law that one should always obey in life should he/she ever feel resentment, frustration, anxiety, or grief:You have the right only to perform your actions, duties and responsibilities in life; however, the results of these actions should not concern you at all. You should not even desire results for your actions because the results are simply not in your hands, but in the hands of the Lord. Neither should you lean towards inaction. (This is the most important shloka describing Karmyoga.)",1614.2932,1346.6721,880.1152,0.0,0.0
93,Sankhya Yoga,2,48,"The Divine Lord said: O ARJUNA, perform all your actions with an even mind. In other words, do not feel overjoyed at the successes in your life and do not allow yourself to feel overcome with grief because of any failures you may encounter on life. Rid yourself of any attachments to material things and always remember that the results of your actions is in the Lord?s hands. If you react the same way, regardless of the result of your actions, you are performing what is known as KARMYOGA.",1601.3849,1332.1729,933.48145,0.0,0.0
94,Sankhya Yoga,2,49,"The Blessed Lord said unto ARJUNA:When actions are performed by a person for any selfish motive or gain, that person shall always suffer and remain disappointed in life. Those, however, who practice KARMYOGA or the Yoga of even-mindedness, are free from any worries or disappointments for they do not care for the results of their actions and duties.",1106.5092,889.74036,773.84686,0.0,0.0
95,Sankhya Yoga,2,50,"That person who devotes himself to a life of KARMYOGA with no selfish motives in mind does not become hungry for power, nor does he become attached to any of the bad and disgusting things in life. Therefore, O ARJUNA, always strive to achieve selfless KARMYOGA, for this is the path of perfection in life.",1577.3237,1299.5308,987.8608,0.0,0.0
96,Sankhya Yoga,2,51,"Those individuals who have devoted their lives to the practice of KARMYOGA, they not only free themselves of the worries that accompany anticipation of results after performing certain actions, but also free themselves of all sins and achieve the supreme state of everlasting peace and happiness.",738.615,1039.8265,1371.2197,0.0,0.0
97,Sankhya Yoga,2,52,"When you finally reach the state where your mind is free from all attachments and pleasures in life, your intellect will clear and will give you the ability to think logically, and wisely, whenever you need to.",2098.4001,1753.3196,1139.0765,0.0,0.0
98,Sankhya Yoga,2,53,"Your intellect, O ARJUNA, will then allow you to distinguish between the real and the unreal in life. You will no longer have conflicts about opinions of life?s many aspects and characteristics. You will know what is of importance and of no importance. Finally, you will reach the state where you will have achieved KARMYOGA, a state of long-lasting peace and happiness.",1507.028,1247.4124,912.3893,0.0,0.0
99,Sankhya Yoga,2,54,"Arjuna asked the Lord:Dear KESHAVA (Krishna), what are the characteristics of a man who is very wise, has a firm intellect and is placed or engrossed in a superconscious state? How does this type of person speak, sit and walk?",33.715065,481.98413,801.79694,182.1729,0.0
100,Sankhya Yoga,2,55,"The Divine Lord Krishna replied: O ARJUNA, one is said to have steady wisdom if he completely frees himself from desires of the mind and heart and is realistically satisfied within himself, no more having the longing for material pleasures.",1178.8671,973.2667,728.8982,0.0,0.0
101,Sankhya Yoga,2,56,"He whose mind is unaffected by misery or pleasure and is free from all bonds and attachments, fear and anger, is man, of steady wisdom and decisive intellect.",739.049,795.183,977.8766,0.0,0.0
102,Sankhya Yoga,2,57,"A man has a decisive intellect, who is no longer attached to anything, shoeing pleasure if something pleasan happens and displeasure if something unpleasant occurs.|",1874.1617,1564.2991,976.0271,0.0,0.0
103,Sankhya Yoga,2,58,"Just as a tortoise withdraws or retreats its limbs into its shell, a person with a firm mind and decisive intellect can withdraw his senses from sensual objects.",800.60645,848.835,1036.3794,0.0,0.0
104,Sankhya Yoga,2,59,"One who does not use his senses for the enjoyment of sensual objects can overcome and rise above sensual objects. However, he is not able to leave off the attachment to his senses. One who realizes God or the Supreme, gers rid of attachments to the senses as well.",1651.7006,1370.4338,1005.6076,0.0,0.0
105,Sankhya Yoga,2,60,The Blessed Lord said: Even those who are wise and are striving to achieve spiritual happiness and freedom are carried away violently or with great force by their excited senses.,1134.4893,932.30804,719.198,0.0,0.0
106,Sankhya Yoga,2,61,"The yogis or My divine devotees have gained or achieved self control; they have complete control of their senses and therefore they have also earned the power of constant wisdom. Their minds are constantly focussed and concentrated on ME, the Supreme Goal.",277.4749,696.91986,1095.5621,31.234434,0.0
107,Sankhya Yoga,2,62,"Those who always think about sensual objects get attached to those objects. Attachment arouses desires and when one does not get what one desires, irritation is aroused, and from irritation stems anger and frustration.",1663.0686,1389.7235,874.3874,0.0,0.0
108,Sankhya Yoga,2,63,"The Blessed Lord spoke: From anger, stems delusion (false beliefs or assumptions); delusion causes loss of one?s confused mind; the confused mind makes a person lose his/her ability to reason and lose their power to solve his/her problems. When one loses his/her power to reason, the person will suffer ultimate death and destruction.",0.0,529.51917,817.6159,349.4644,0.0
109,Sankhya Yoga,2,64,"But the disciplined wise man who has control over his senses and is free from attraction and emotional distractions, gains peace and purity of the self.",98.38263,920.63196,1457.8506,268.83487,0.0
110,Sankhya Yoga,2,65,"Purity of self gets rid of all miseries and grief. A person with internal purity soon develops steady wisdom and a clear, unclouded intelligence.",0.0,832.58954,1249.9956,572.8965,0.0
111,Sankhya Yoga,2,66,"One who cannot control his senses is one who is lacking in steady wisdom and intelligence, and also lacks proper feelings or sentiments (thoughts). A person who cannot think properly and make decisions with a clear mind, cannot have peace of mind, and without peace of mind there can be no happiness.",1436.7648,1195.3884,821.64764,0.0,0.0
112,Sankhya Yoga,2,67,"The mind of those who run after or pursue material pleasures and sensual objects, is often clouded and let on the wrong path, just as the wind blows away the ship on the waters.",911.8151,906.93396,1057.7385,0.0,0.0
113,Sankhya Yoga,2,68,"O ARJUNA, therefore with senses under control, protected from sensual objects, not only does one have the ability to reason things out properly, but also gains peace of mind leading to eternal bliss and happiness.",1469.8489,1217.6013,893.47345,0.0,0.0
114,Sankhya Yoga,2,69,"When it is night for all others, the wise man is always awake. When others are aware and deceived (deluded) by sensual objects, the wise man who knows the truth and has realized God, shuts his eyes to daylight and the misleading material objects that attract people, and considers it night. He is not easily deceived.",1301.1012,1085.5404,740.3745,0.0,0.0
115,Sankhya Yoga,2,70,"As the river enters the ocean without affecting the ocean or disturbing it, so the desires enter the person who has obtained Supreme peace, but not the person who is already filled with desires and wants more and more.",1548.0952,1288.0414,929.30255,0.0,0.0
116,Sankhya Yoga,2,71,"The Blessed Lord said: By giving up all desires, freeing oneself of all attachments and without constantly thinking of oneself or of one?s possessions, only then, one may live in realistic peace.",232.47507,750.8999,1191.8988,87.63446,0.0
117,Sankhya Yoga,2,72,"The Blessed Lord spoke: O ARJUNA, this is the state of a person who has truly realized God. After obtaining Supreme Bliss by realizing God, this person cannot be deceived by any of life?s evils. Until the time of death one remains firm in this state and ultimately achieves Supremr Peace and tranquility.",0.0,727.7946,1145.3273,293.03818,0.0
118,Karma Yoga,3,1,"Arjuna asked the Good Lord: O Lord KRISHNA, if you claim that Gyan or Knowledge is better than one?s Karma or responsibility, the why do you ask me to fight this battle?",1737.4662,1450.7046,838.4521,0.0,0.0
119,Karma Yoga,3,2,"I am confused dear Lord, by the advice you have given to me. You have told me to take two opposite and different courses of action at once. Please, O KRISHNA, tell me of just one wise solution and course of action that would lead out of this problem safely.",1873.6338,1568.2944,976.1775,0.0,0.0
